fe,num_examples,baseline.fn,fn+exemplars,fn+exemplars+siblings,fn+exemplars+srl
Desiring;Focal_participant,5,0,0.8,0.666666666666667,0.8
Desiring;Place,1,0,0,0,0
Desiring;Purpose_of_Event,1,0,0,0,0
Desiring;Time,1,0,0,0,0
Desiring;Time_of_Event,1,0,0,0,0
Destiny;State_of_affairs,1,0,0,0,0
Destroying;Cause,2,0,0,0,0
Destroying;Containing_event,1,0,0,0,0
Destroying;Destroyer,1,0,0,0.666666666666667,0
Destroying;Undergoer,4,0.75,0.75,0.666666666666667,0.75
Difficulty;Activity,4,0.25,0.25,0.25,0.25
Difficulty;Degree,2,1,1,1,1
Difficulty;Experiencer,1,0,0,0,0
Dimension;Dimension,19,0.871794871794872,0.95,0.95,0.95
Dimension;Domain,1,0,0,0,0
Dimension;Location,1,0,0,0,0
Dimension;Measurement,3,0,0,0,0
Dimension;Object,19,0.256410256410256,0.342857142857143,0.333333333333333,0.342857142857143
Direction;Base_position,3,0,0,0,0
Direction;Path,4,0.75,0.75,0.75,0.75
Discussion;Interlocutor_1,1,0,1,0,0
Discussion;Interlocutor_2,1,0,0,0,0
Discussion;Interlocutors,14,0.235294117647059,0.782608695652174,0.75,0.782608695652174
Discussion;Place,1,0,0,0,0
Discussion;Purpose,2,0,0,0,0
Discussion;Time,3,0,0.5,0.5,0
Discussion;Topic,2,0.153846153846154,0.5,0.4,0.5
Disembarking;Place,7,0,0,0,0
Disembarking;Traveller,7,0,0,0,0
Disembarking;Vehicle,7,0,0,0,0
Dispersal;Goal_area,1,0,0,0,0
Dispersal;Individuals,1,1,1,1,1
Documents;Bearer,1,1,0,0,0
Documents;Document,5,0.888888888888889,0.888888888888889,1,0.888888888888889
Documents;Issuer,1,0,0,0,0
Documents;Obligation,1,0,0,0,0
Dominate_situation;Agent,1,0,1,1,1
Dominate_situation;Situation,1,0,1,1,1
Duplication;Copy,1,0,1,1,1
Duplication;Original,1,1,1,1,1
Duration_attribute;Eventuality,3,0,0.4,0.4,0.4
Earnings_and_losses;Earner,9,0,0,0.2,0
Earnings_and_losses;Earnings,16,0.193548387096774,0.16,0.153846153846154,0.16
Earnings_and_losses;Goods,1,0,0,0,0
Earnings_and_losses;Time,5,0,0,0,0
Economy;Economy,22,0.893617021276596,0.869565217391304,0.869565217391304,0.869565217391304
Economy;Political_region,3,0.444444444444444,0,0,0
Education_teaching;Fact,1,0,0,0,0
Education_teaching;Place,1,1,0,0,0
Education_teaching;Role,1,0,0,0,0
Education_teaching;Student,4,0.75,0.857142857142857,0.75,0.857142857142857
Education_teaching;Subject,1,0,0,0,0
Education_teaching;Teacher,2,0,0,0,0
Electricity;Electricity,14,0.928571428571429,0.96551724137931,0.96551724137931,0.96551724137931
Electricity;Source,8,0.705882352941177,0.625,0.705882352941177,0.625
Emotion_directed;Circumstances,1,0,1,1,1
Emotion_directed;Empathy_target,1,0,0,0,0
Emotion_directed;Event,1,0,0,0,0
Emotion_directed;Experiencer,6,0.363636363636364,0.461538461538462,0.461538461538462,0.5
Emotion_directed;State,1,0,0,0,0
Emotion_directed;Stimulus,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
